feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
CV17,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.782320980189622,,0.7834788580301474,0.8224456095001895,0.8187735695481254,0.0876357057596539
CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7779832781169005,,0.7636537604101781,0.8246132649226756,0.8250695886686602,0.083972014526463
CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8108764559540999,,0.7970581017680112,0.8480573389547361,0.8455227894115598,0.0856885741681812
CV17,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7874946403745458,,0.7779648957967672,0.8265744212844597,0.8251207856001888,0.0839365664717753
CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7859629536515836,,0.7858508662572856,0.8307790787299703,0.8413374119465329,0.0903128826199341
CV17,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7875542197000218,0.7818926930861025,,0.7794360843563675,0.8228305170771748,0.8172443424271856,0.0897708406997329
CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7902246348642307,0.7798391441382206,,0.7683988078187873,0.8306276108552506,0.8284798424227078,0.0877766250541529
CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7799777143901976,0.8054525402110634,,0.7945308177536972,0.8473254916999249,0.8396887046213215,0.0887425858467605
CV17,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,0.7878450978700686,0.7815741490647183,,0.775794594597105,0.8239300726612823,0.8224611659936365,0.0865108937862439
CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,0.7869952314422349,0.7771509167842031,,0.7781877502430237,0.8254304530268979,0.8393294597993746,0.0904937505570286
CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7851132441488423,,0.7851984676277233,0.8230948495946155,0.8190482029554329,0.0894652039412326
CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7782590067829251,,0.7635638470337284,0.8240568797971272,0.824153856285607,0.0838615504670323
CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8098535521701977,,0.7963059483721127,0.844696708869365,0.8431746342071316,0.0844660372802488
CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7907775463093294,,0.780496754991618,0.8281603869566049,0.8263738041678681,0.0835544951002734
CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7875694033126099,,0.7875407027401458,0.8323286016348247,0.8429769341969683,0.0899148297987268
CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7938330363309771,0.7897152310650912,,0.780364940110246,0.8188637763643727,0.8078524069659385,0.0901223144836293
CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7956358876252936,0.7881640288624283,,0.7705914082962173,0.8305006208307233,0.823776780415409,0.0872678151710881
